,lat [deg],long [deg],RA [deg],dec [deg],vlos [km/s],dist [kpc],pmRA [mas/yr],pmdec [mas/yr]
21215,9.99528695133,336.897683397,238.256561854,-37.0048923828,-12.7842053429,88.5645701278,-0.13049139926,0.0370447340693
21216,8.60599515631,336.582009497,239.142009577,-37.9551900111,81.8222601874,77.1926009285,-0.13021392588,-0.030614657426
21217,13.3800466084,339.811991141,238.201190364,-33.5181781437,-87.1239037175,76.238271148,-0.164701287977,-0.0200353653174
21218,13.7901490267,336.956420733,235.219460282,-34.6918322488,31.0065997103,77.9155754934,-0.154069034262,-0.00503010781945
21219,11.6343318417,342.803364255,242.292583326,-32.9588944364,81.5612263852,74.7335084394,-0.315568833517,0.0463747117477
21220,9.19797856421,344.829742905,246.13064235,-33.2012087257,89.7246118707,76.0165706201,-0.269628416898,0.038348925255
21221,11.2544985132,346.274388515,245.508052058,-31.1777104234,-143.494463898,70.954448058,-0.200299653401,0.000405864593027
21222,16.5441814087,346.838941974,241.554459134,-27.6633708351,-120.592617446,75.3535935831,-0.181113618728,-0.000703185642331
21223,6.6718740938,346.337501936,249.669968482,-33.6835412372,54.8317991026,88.593375035,-0.136478864165,-0.0441764596795
21224,15.2387343709,346.33127834,242.210627523,-28.7698701021,-65.5868340012,82.3661890963,-0.130658086167,0.0219332511684
21225,19.1702997829,346.656908703,239.345531265,-26.1030711896,95.6756242518,82.8747029971,-0.25562117987,-0.0119787426153
21226,16.935365259,337.658061578,233.481291375,-32.3468825672,-173.204184292,94.1094237671,-0.136890119724,0.239035270134
21227,17.9006374819,336.719706606,231.91268547,-32.1574930279,-11.9300908265,86.6183526643,-0.168130943879,-0.0330392146276
21228,18.5543774652,337.545892204,232.198007914,-31.3305586465,10.0501142816,84.456850392,-0.173779496126,-0.0147512199837
21229,17.0407699322,334.086216047,230.02544894,-33.9233562742,52.1336941011,85.1887558546,-0.173657193532,-0.00351732419726
21230,11.7303417977,338.099010567,237.962525027,-35.3883540014,-3.79440582624,88.3206627829,-0.140354772024,0.0323812893423
21231,10.0399324344,339.592717856,240.789367135,-35.6194389127,-40.414834516,92.6733633818,-0.118292521427,-0.00451351894501
21232,13.1726882477,343.287700699,241.415498659,-31.7727397802,32.5496760266,91.5024378631,-0.182268520598,0.0157192237672
21233,14.8455462513,342.297707554,239.2088722,-31.2953157425,-60.1436119741,93.6142717576,-0.128616030442,0.0178795889701
21234,16.9786415137,342.807407261,237.957217845,-29.673963359,9.93665690246,91.6202658003,-0.15035893859,-0.00589434659389
21235,16.6692959356,338.79301746,234.711500462,-31.9635030345,-45.1342365052,94.7868266244,-0.164348121292,0.061002169993
21236,15.3154294124,341.642427503,238.271541993,-31.3554164339,24.7897307084,96.3671393407,-0.132100474787,0.0619910161164
21237,22.0899993643,336.118575569,228.477977013,-29.560912142,9.20399462212,90.0753882233,-0.159677988935,0.0107828185205
21238,19.5263697089,337.8433095,231.771831174,-30.5341908041,-53.1825911884,91.1688391423,-0.14113045458,0.0609910552837
21239,21.3083603013,340.905162659,233.143102709,-27.8109649513,20.1402785455,91.9914241845,-0.150429856071,0.0174567845597
21240,25.6995746265,343.370672002,232.033649979,-23.4869048964,-37.0914543652,89.8315766718,-0.153791156749,0.0556352308952
21241,20.9590774223,343.439285585,235.466779619,-26.7221299721,-5.3265891873,91.6808967626,-0.15598300999,-0.0410337114908
21242,16.6722795635,345.820092759,240.651071303,-28.1780280356,-158.822934849,99.1769422315,-0.202807965069,0.170264217562
21243,4.84707640101,352.187058335,255.827716062,-30.9000823507,-48.3506208402,98.1123486178,-0.139129461381,-0.0619515599977
21244,11.8157173015,342.765517849,242.106179091,-32.8730672545,-178.926852898,118.818199476,-0.157802106281,0.0617474130146
21245,9.65491088186,336.843359221,238.493340877,-37.2285360761,-148.074777108,118.320766926,-0.135146140904,0.0822959387195
21246,18.3718780366,326.404542316,221.230215145,-35.9928281021,-160.332140333,106.406298667,-0.136344475305,0.155505942232
21247,20.208062989,326.798912838,220.600204735,-34.5695334054,-170.862081953,102.25740911,-0.180324886877,0.0993541149663
21248,24.0880811814,332.951934251,224.358261033,-29.4746821143,-174.073388288,99.5990327415,-0.185117689844,0.117718884279
21249,21.8612911133,331.307516996,224.165875865,-31.7462173558,-30.8810549727,94.6894280705,-0.121449849009,0.0791580327255
21250,19.3128935139,329.534968687,223.967149004,-34.2282975575,-0.695498054013,96.4981892487,-0.12207482168,0.0848526618331
21251,23.9479447232,333.37208484,224.825312885,-29.4061796419,57.9320769341,97.8943229848,-0.111212231067,0.0570776201122
