,lat [deg],long [deg],RA [deg],dec [deg],vlos [km/s],dist [kpc],pmRA [mas/yr],pmdec [mas/yr]
49,55.1250030425,148.361991832,165.720235691,47.9143954537,-64.7031350789,217.034653382,-0.00564767026433,0.0618503152972
50,38.5548467411,157.528366979,132.341268515,49.2060223467,-45.3123182377,232.407052312,-0.0469146904084,0.027341242224
51,38.2197719084,156.642796709,131.951127928,49.5835131257,-53.8482009235,205.757675212,-0.0759359377187,0.0481920604196
52,50.4206637502,149.018807455,158.656743281,49.4481756478,-21.0006048358,269.230234772,-0.00842050655427,0.0316003977619
53,49.4647423287,158.313232317,151.152240614,47.0165367785,18.1320120906,290.744747101,-0.0254796038156,0.0418278326133
54,50.7988463432,161.52619067,151.719313519,45.5854283377,71.8048217564,260.806207705,-0.0277536595769,0.0536790018717
55,51.4391050589,177.302770783,148.39300677,39.1198886956,-6.43000054699,273.37000547,-0.0276827749635,0.0464093834374
56,46.886331124,175.104837057,142.397089454,40.6019864833,-35.9461965913,239.965195054,-0.0480021735785,0.0445287011886
57,40.6523307829,177.738892711,133.561512285,39.4571086552,56.3421113485,263.298819541,-0.0558000066139,0.0319505587835
58,38.9918011638,179.318487352,131.368569851,38.5166682048,48.7074372638,288.843971737,-0.0139827664077,0.00607098389053
59,46.9081741763,166.310105955,144.088932408,44.5421347347,12.9981084446,288.349361946,-0.029540866834,0.0339745648022
60,39.741381802,163.015543388,133.207984444,46.8139056053,30.9751327134,305.272352959,-0.0195233127297,0.0131848275128
61,32.9715027012,173.858316161,122.454505531,41.2881581304,69.7377425917,263.077786787,-0.0440724219351,0.0224228930104
62,33.1819526976,173.964682756,122.770668147,41.2435989853,-39.7115239427,238.716372135,-0.0624411199268,0.0181346420035
63,28.5367411014,177.717207557,117.134339228,38.4087825413,98.2130892405,228.90745144,-0.0576863898736,0.0269554342117
64,32.8630781841,167.610469643,121.549351082,44.7255973735,-65.651984436,227.818353578,-0.0216153489408,0.00483659562913
65,28.025106972,155.378147417,111.154971496,50.3113418777,-29.7263022256,250.002231137,-0.0400673159135,0.0123147417471
66,20.5382705796,168.241637655,102.942400385,42.7911281528,-44.2268698544,232.385879854,-0.0541622381702,0.00335401166869
67,21.9346426177,169.676897818,105.536463275,42.224253945,-49.2185260259,232.31644671,-0.0448250410676,0.00578404144952
68,25.3521062542,178.913552535,113.367043383,37.0531286645,-27.8421449542,254.54524639,-0.0397196584416,0.0102345954254
69,26.0398652223,174.721787374,112.975863939,39.8882253162,33.48204735,275.328898576,-0.0517454844139,0.0162512980421
70,-0.452797095593,161.092104946,71.3514104403,39.8245689045,112.11868915,234.572939748,0.112262067472,0.0066156439107
71,1.9083742451,166.00017915,78.0162627983,38.0598832012,-96.7097164412,149.969656866,-0.14687058398,-0.0338764959825
72,7.62676929053,189.005375568,97.9770726242,24.0020397782,-104.520239528,154.501847021,-0.114534964996,0.0281085526639
73,1.55243832533,188.791520852,92.0170332115,21.5655496803,-78.469250221,169.729656477,-0.127669622427,-0.00214440876536
74,-12.856929179,178.579300261,72.9578227488,22.1658216977,-23.1498877866,172.477457539,0.0902896730373,0.000885262065372
